Nome da Empresa;Categoria;website;Qtd Funcionários;Data da Fundação;Localização
Clériston Freire Gestão Imobiliária;Imobiliário;http://cleristonfreire.com.br;0;Sem informação;26 R. das Laranjeiras - Pelourinho, Salvador, 40026-230,
Miranda Jr. Gestão Imobiliária;Imobiliário;http://mirandajrgestaoimobiliaria.com.br;0;Sem informação;366 R. Jorge de Lima - Paratibe, Recife, 51160-070,
Marlene Felippe Gestão Imobiliária;Imobiliário;http://marlenefelippe.com.br;0;Sem informação;49 Rua Domingos Marreiros - 1309 - Umarizal, Belém, 66060-162,
Marcos Giulio Gestão imobiliária;Imobiliário;http://marcosgiulio.com.br;0;Sem informação;1600 Av. Central - Atlântida, Xangri-Lá, 95588-000,
Gre Realty Gestao Imobiliaria;Imóveis comerciais;http://grerealty.com.br;0;Sem informação;"Av Major Sylvio De Magalhaes Padilha, 5200, Bloco: E; Conj: 110; Edif: Montreal;, Sao Paulo, São Paulo 05693-000,"
E. Dellatorre Gestao Imobiliaria E Participacoes;Imóveis comerciais;http://casahallshopping.com.br;0;Sem informação;Avenida do Estado 4770, Balneário Camboriú, Santa Catarina 88339-060,
Araújo Pinheiro Gestão Imobiliária Ltda;Imóveis comerciais;http://araujopinheiroimoveis.com.br;0;Sem informação;R. Padre Roma, 120 - Tamarineira,, Recife, Pe 52050-150,
Fácil Imóveis - Gestão Imobiliária;Imóveis comerciais;http://facilimoveisgestaoimobiliaria.com;0;Sem informação;Av. A, 1237 - Conj. Ceará II,, Fortaleza, Ce 60533-593,
W2 Invest Gestao Imobiliaria;Imóveis comerciais;http://w2invest.com.br;0;Sem informação;Rua Salvador Simoes, 801, sala 104, São Paulo, Sp 04276-000,
NGI - Next Gestão Imobiliária;Imóveis comerciais;http://nextgestaoimobiliaria.com.br;0;Sem informação;Av. Paulista, 807 - 23º andar - Jardins,, São Paulo, Sp 01311-100,
Anzanello & Peretti Gestão Imobiliária;Imóveis comerciais;http://imoveisanzanelloeperetti.com.br;0;Sem informação;Av. Dom Pedro II, 652 - Centro,, Videira, Sc 89560-000,
Da Vinci Gestão Imobiliária;Gabinete presidencial;http://davincigestao.com.br;0;Sem informação;R. Lajeado - Niterói, Canoas, 92120-090,
C&C - Gestão Imobiliária;Imobiliário;http://cecgestaoimobiliaria.com.br;0;Sem informação;Varginha, 37002-010,
Archimplementacoes Desenvolvimento E Gestao Imobiliaria;Imóveis comerciais;http://ramiroconsultoria.com.br;0;Sem informação;R Marques Do Herval, 868, Sao Leopoldo, Rs 93010-200,
M C A Do Nascimento - Gestao Imobiliaria;Imóveis comerciais;http://imobiliariasky.com.br;0;Sem informação;Rua Angelina Cavali 597, Colombo, Paraná 83408-477,
Houses Sociedade De Gestao Imobiliaria;Imóveis comerciais;http://housei.com.br;11-50;Sem informação;Rua Aririzal 2000, São Luís, Maranhão 65067-197,
Habitat Solucao Em Gestao Imobiliaria;Serviços públicos;http://habitatsolucaoimobiliaria.com.br;0;Sem informação;Rua 13-A, Anápolis, Go 75100-470,
Oliveira E Rodrigues Gestao Imobiliaria;Imóveis comerciais;http://orgestaoimobiliaria.com.br;0;Sem informação;Avenida Joao Cabral De Mello Neto, Rio De Janeiro, Rj 22775-057,
Projetado Arquitetura e Gestão Imobiliaria;Imóveis comerciais;http://projetado.com;0;Sem informação;Rua Dr. Rafael Correia, 17 - Água Branca,, São Paulo, Sp 05043-050,
Victor Meira - Consultoria e Gestão Imobiliária;Imobiliário;http://victormeira.com.br;0;Sem informação;3066 Av. Bruno Zuttion - Sala 01 - Centro, Realeza, 85770-000,
Tag Properties Desenvolvimento E Gestao Imobiliaria;Imóveis comerciais;http://vicshopping.com.br;0;Sem informação;Av Santo Amaro, 48, Andar 6, Sao Paulo, São Paulo 04506-000,
Lopes de Almeida Assessoria Jurídica e Gestão Imobiliária;Prática jurídica;http://lopesdealmeida.adv.br;0;Sem informação;Estr. dos Três Rios, 1200 - sala 322 - Freguesia de Jacarepaguá,, Rio de Janeiro, Rj 22745-005,
Dirlete Vitoretti, Corretora e Avaliadora de Imóveis. Gestão imobiliária de Confiança!;Imóveis comerciais;http://dirletevitoretti.com.br;0;Sem informação;Estr. Cristóvão Machado de Campos, 705 - Sl 03 - Vargem Grande,, Florianópolis, Sc 88052-600,
Tmx - Imobiliaria, Participacoes, Gestao De Negocios E Administradora De Bens;Imóveis comerciais;http://lastrogestao.com.br;0;Sem informação;Rua Funchal 263, São Paulo, São Paulo 04551-060,
Sindmaster Gestao E Administracao Da Propriedade Imobiliaria;Imóveis comerciais;http://sindmasterassessoria.com.br;0-1;Sem informação;Praça Rocha Vaz 50, Rio de Janeiro, Rio De Janeiro 21511-480,
GESTÃO ADMINISTRAÇÃO IMOBILIÁRIA LTDA;Imóveis comerciais;http://gestaoimobiliaria.com;0;Sem informação;Av. Afonso Pena, 3924 - Cruzeiro,, Belo Horizonte, Mg 30130-009,
Imobiliaria Gestão Ltda;Canoas, Rs;http://imobiliariagestao.com.br;0;Sem informação;Avenida Sezefredo Azambuja 2441, Canoas, Rs 92020-020,
Almeida Rosa Gestao E Administracao Imobiliaria;Serviços públicos;http://argestaoimobiliaria.com.br;11-50;Sem informação;"R Jose Maria Hannickel, 150, Sala: 150;, Sorocaba, São Paulo 18047-360,"
Rpk Gestao E Administracao De Propriedade Imobiliaria;Imóveis comerciais;http://rpkassessoria.com.br;0;Sem informação;R Imaculada Conceicao, 579, Terreo, Curitiba, Paraná 80215-030,
Cicci Ramos Gestao E Administracao Da Propriedade Imobiliaria;Imóveis comerciais;http://cicciramos.com.br;0;Sem informação;Av Marques De Sao Vicente, 446, Conj. 409, Sao Paulo, São Paulo 01139-000,
Trevizan Vieira Gestao E Administracao Da Propriedade Imobiliaria;Imóveis comerciais;http://trevizanvieira.com.br;0;Sem informação;Av Doutor Antonio Maria De Laet, 235, Sala 05, Sao Paulo, Sp 02240-000,
Tríade Gestão e Consultoria Imobiliária;Imóveis comerciais;http://triadeimoveis.com;0;Sem informação;Av. T-9, 2310 - 308B - Jardim America,, Goiânia, Go 74255-220,
Lumen - Imobiliaria E Gestao Patrimonial;Imóveis comerciais;http://lumenimobiliaria.com.br;0;Sem informação;R Mexico, 45, 7 Andar, Rio De Janeiro, Rio De Janeiro 20031-144,
Madeira - Gestao Da Propriedade Imobiliaria Ltda;Contabilidade;http://ivanmadeira.com.br;0;Sem informação;R Pinheiro Machado, 76, Apt 103, Rio De Janeiro, Rj 22231-090,
WDM Gestão de Obras & Imobiliária;Construção;http://wdmgestaodeobras.com.br;0;Sem informação;636 R. José Domingos - Vicente de Paulo, Nova Andradina, 79750-000,
HBR Gestão e Administração Imobiliária S.A.;Imobiliário;Como;0;Sem informação;AVENIDA BORGES DE MEDEIROS, Nº 2500, SALA 1212, PRAIA DE BELAS, Porto Alegre, Rio Grande Do Sul 90110-150,
Price Gestão Condominial e Imobiliária Ltda;Varejo;http://pricegestaocondominial.com.br;0;Sem informação;Av. Godofredo Maciel, 2317 - Sala 105 - Maraponga,, Fortaleza, Ce 60710-683,
Jr Gestao E Administracao Imobiliaria;Imóveis comerciais;http://jrgestaoimobiliaria.com.br;0;Sem informação;Avenida Nilo Pecanha, Rio De Janeiro, Rj 20020-100,
Firmux Gestao E Consultoria Imobiliaria;Contabilidade;http://campelocosta.com.br;0;Sem informação;Avenida Padre Antônio Tomás 201, Fortaleza, Ceará 60140-160,
Ceni Gestao E Administracao Imobiliaria;Imóveis comerciais;http://ceniconstrucoes.com.br;0;Sem informação;Praça Lauro Müller 441, Campos Novos, Santa Catarina 89620-000,
Rena Gestao E Administracao Da Propriedade Imobiliaria;Imóveis comerciais;http://renaimoveis.com.br;0;Sem informação;R Plinio Barroso De Castro, 129, Curitiba, Paraná 80215-660,
MCruz Consultoria - Gestão & Excelência Imobiliária;Rio de Janeiro, Rj;http://mcruzconsultoria.com.br;0;Sem informação;R. Medina, 127 - Sala 307 - Méier,, Rio de Janeiro, Rj 20720-012,
New House Gestao Estrategica Imobiliaria;Varejo;http://newhouse.cim.br;0;Sem informação;Rua Quinze De Novembro, Garça, Sp 17400-000,
Index Urban Gestao E Assessoria Imobiliaria;Imóveis comerciais;http://indextemporada.com.br;0;Sem informação;Avenida Borges de Medeiros 3143, Gramado, Rio Grande Do Sul 95670-000,
R G Broker Gestao E Administracao Imobiliaria;Serviços financeiros;http://rgbroker.com.br;0;Sem informação;Estrada Francisco Da Cruz Nunes, Niterói, Rj 24350-310,
Fnd Realty Gestao E Administracao Imobiliaria;Imóveis comerciais;http://brpa.com.br;0;Sem informação;R Pedroso Alvarenga, 1254, Andar 10, Sao Paulo, Sp 04531-004,
M.M. Junior - Gestao E Administracao Imobiliaria;Imóveis comerciais;http://mmgo.com.br;0;Sem informação;Rua Doutor Abelardo Vergueiro Cesar 515, São Paulo, São Paulo 04635-080,
Vr Administracao Gestao E Administracao Da Propriedade Imobiliaria Simples;Imóveis comerciais;http://prudentiaimoveis.com.br;0;Sem informação;Rua Senador Dantas 71, Rio de Janeiro, Rio De Janeiro 20031-202,
Engenheiro Civil e de Segurança do Trabalho Rafael Caetano | CUBO Engenharia - Construção, Projetos, Regularização Imobiliária, Gestão de obra e Elaboração de programas ocupacionais;Engenharia civil;http://engenheirocivilpinhais.negocio.site;0;Sem informação;R. Santa Fé, 395 - Centro,, Pinhais, Pr 83324-230,
Fotografia Imobiliaria RS;Imobiliário;http://arnholdfoto.com.br;0;Sem informação;Gravataí, 94090-490,
Diego Ramos Fotografia Imobiliária;Fotografia;http://www.fotografiaimobiliaria.com.br;11-50;2004;Avenida Ipiranga 7464, 719, Porto Alegre, Rio Grande do Sul 91530-000,
RMO Fotografia Imobiliária;Fotografia;https://rmofotografia.com.br/;2-10;Sem informação;São Paulo,
Birdie;Fotografia;http://www.birdie.com.br;51-200;2019;Sem informação
Hauseful Serviços Digitais LTDA;Tecnologia da informação e serviços;http://www.hauseful.com;11-50;2018;Rua da Vitória Régia, 64 , Sala 01, Florianópolis, Santa Catarina 88037-130,
IBRESP;Educação à distância;http://www.ibresp.com.br;11-50;2009;Alameda dos Guatás- 659- Planalto Paulista-, São Paulo, São Paulo 04053-042,
Agenciou!;Imobiliário;http://www.agenciou.com.br;11-50;2018;Avenida Ipiranga, 6681 Prédio 96E, Sala 109, Porto Alegre, Rio Grande do Sul 90619-900,
KAAZA computação gráfica Ltda;Design;http://www.kaaza.arq.br;11-50;2010;Rua Cornélio Procópio 145, Londrina, Paraná 86060-420,
Sheep House - Fotografia Imobiliária;Fotografia;http://sheephouse.com.br;0;Sem informação;R. José Loureiro, 646 - Centro,, Curitiba, Pr 82590-300,
RACAA Arquitetura;Arquitetura e planejamento;Inclui;2-10;2014;Av. Prefeito Osmar Cunha, 416, Sala 105 . Edifício Koerich Empresarial, FLORIANOPOLIS, Santa Catarina 88015100,
Fotografia Imobili;Marketing e publicidade;http://fotografiaimobiliaria.com.br;0;Sem informação;1221 Avenida Nilo Pe Anha, Porto Alegre, 91330-000,
AUÊ360 FOTOGRAFIA&PÓS PRODUÇÃO;Fotografia;http://www.aue360.com.br;2-10;2007;rua vergueiro 1467, sao paulo, são paulo
W Fotografia de imóveis;Fotografia;51996679415;0-1;2017;Porto Alegre, Rio Grande do Sul 90040001,
Casa Eventos Empresariais;Serviços para eventos;http://casaeventosempresariais.com.br;2-10;2011;Rua do Bom Pastor, nº 47 - Sl 208, Iputinga, Recife, Pernambuco
Dicastanha Fotografia;Fotografia;http://www.dicastanhafotografia.com.br;2-10;2014;São Paulo, São Paulo
BASE - Fotografia Empresarial;Fotografia;http://www.basepoa.com;2-10;2016;Porto Alegre, Rio Grande do Sul
Breno Melo Photography;Fotografia;https://brenomelo.com.br/;0-1;2017;São Paulo,
ASA100 Produções;Produção de mídia;http://www.asa100.com.br;11-50;2013;Rua Antônio Lapa 280, Campinas, São Paulo
PÊPEBROKER - NEGÓCIOS IMOBILIÁRIOS;Imobiliário;https://www.instagram.com/pepebroker/;0-1;2016;Avenida Doutor Nilo Peçanha 2900, SALA 804, Porto Alegre, Rio Grande do Sul 91330-002,
AMA - AGÊNCIA DE PUBLICIDADE;Marketing e publicidade;http://www.amaagencia.com.br;2-10;2018;Av. Dr. Eloy Chaves, 956, Centro, Três Lagoas, MS 79602-002,
Valley - Fazendas & Investimentos;Imobiliário;https://www.valleyimoveis.com.br/;2-10;2019;Mato Grosso,
RS Fotografia;Fotografia;https://www.rogeriosetembre.com.br/;2-10;2017;Rua Flórida , São Paulo,
ThriveCore Group;Capital de risco e participações privadas;http://www.thrivecore.com.br;11-50;Sem informação;Avenida Paulista, 726, 17º andar, São Paulo, SP 01310-910,
socialmedia-florianopolis;Marketing e publicidade;https://www.socialmedia-florianopolis.com.br/;2-10;2016;Florianópolis, Santa Catarina 88063710,
Guilherme Damaceno Fotografia;Fotografia;https://guilhermedamaceno.com/;2-10;2019;São Paulo, São Paulo
Fernanda Balster Fotografia;Fotografia;http://www.fernandabalster.com.br;0-1;2015;Avenida das Américas 1245, Rio de Janeiro, RJ 22631-000,
Coutinho Negócios;Imobiliário;http://www.rcoutinhodeoliveir.wixsite.com/coutinhonegocios;2-10;2013;São Paulo, SP 03631020,
Foim Fotografias Imobiliárias;Fotografia;http://foim.com.br;2-10;2011;Rua Hermes Fontes, 23, Curitiba, Paraná 80440070,
Alex Caldeira Fotografia;Fotografia;http://www.alexcaldeira.com.br;0;2014;São Caetano do Sul, 09551050,
FAZEMOS! Conteúdo e Imagem;Fotografia;https://www.fazemos.art.br/;2-10;2015;Rua Conde D'Eu, Recife, Pernambuco 50050470,
Luckey Imoveis;Imobiliário;https://luckey.com.br;0;2019;São Paulo, São Paulo 04561004,
CODICASA;Administração de serviços;https://www.facebook.com/codicasabr/;11-50;2014;São Paulo , 05426100,
Estúdio Ashalaya;Fotografia;https://www.estudioashalaya.com/;2-10;2015;Avenida Buriti 620, Florianópolis, Santa Catarina 88034-500,
Visualize Imóveis;Imobiliário;http://visualize.im;2-10;2020;Porto Alegre,
Decore & Cia;Imobiliário;http://www.decoreecia.com.br;2-10;Sem informação;Rua Nicolau Martins Teixeira, 423, Assis, São Paulo 19814180,
Corretor Sem Limites;Imobiliário;https://corretorsemlimites.com.br;0;Sem informação;Rio De Janeiro, Rio de Janeiro 22775-056,
R3 imagens aéreas;Fotografia;https://r3imagensaereas.com;2-10;2018;Rua Luiz Leopoldo Landal, 1317, Curitiba, Paraná 81050-120,
Anúncio Profissa;Fotografia;http://www.anuncioprofissa.com.br;0;2019;Rua Antônio Gomes da Silva 106, São Paulo, SP 02378-160,
Imóvel Virtual 360;Imobiliário;https://imovelvirtual360.com.br/;2-10;2016;São Paulo,
KlickSpace;Imobiliário;http://www.klickspace.com.r;11-50;2016;São Paulo,
IMOBI4.1;Administração de serviços;http://www.imobi41.com;0;2016;Rua Coronel André Belo 640, Porto Alegre, Rio Grande do Sul 90110-020,
Estúdio Aires;Fotografia;11999119438;2-10;2021;Rua Doutor Celso Dario Guimarães, São Paulo, São Paulo 05655-030,
Vian Imóveis;Imobiliário;http://www.vianimoveis.com.br;0-1;2014;Av Ângelo Macalos, 1596, espumoso, RS 99400-000,
STILLCONDE FOTOGRAFIA;Fotografia;http://www.condesbox.com/stillconde;0-1;2019;Brasília,
Imaugem;Fotografia;+5513997993855;0;2019;Rua Santos 87, Guarujá, São Paulo 11410-330,
Diego Pinto Ramos;Fotografia;http://fotografiaimobiliaria.com.br;0;Sem informação;R Jeronimo Coelho, 30, Apt 122, Porto Alegre, Rio Grande Do Sul 90010-240,
Veiling Holambra;Logística e cadeia de suprimentos;http://www.veiling.com.br/;1.001-5.000;1989;Rodovia SP-107, km 27, S/N Zona Rural, SP, Santo Antônio de Posse , SP 13834-899,
Bolsa Nacional de ICMS;Serviços da informação;https://bnicms.com.br;11-50;2010;Rua Tuiuti 2530, 1740 , cj.64, SAO PAULO, SP 03307-000,
OpenDoors.NET;Serviços da informação;https://www.opendoors.net.br;2-10;2019;Alameda Rio Negro, 503, Barueri, São Paulo 06454000,
XLZ | Antecipação de Recebíveis;Serviços financeiros;https://www.xlz.com.br/;11-50;2018;Avenida Rebouças 1585, 1º andar, São Paulo, São Paulo 05401-200,
Grupo Painel Fiscal - Bolsa Nacional ICMS;Serviços da informação;http://www.painelfiscal.com.br;11-50;Sem informação;Sem informação
Butkus Consultoria e Serviços;Consultoria de gerenciamento;https://butkus.com.br;0-1;2020;Rua Zildênia 1166, Sala 01, Eusébio, Ceará 61760-000,
Câmbio Pronto;Serviços financeiros;http://www.cambiopronto.com.br;2-10;2019;São Paulo, SP 01316-010,
KTM Divulgação e Produção Artística Ltda.;Música;http://www.ktmdivulgacao.com.br;11-50;2010;Rua Dom João V, São Paulo, SP
MR7 Bank;Serviços financeiros;http://www.mr7bank.com.br;201-500;2021;Avenida Brasília 2121, 12° Andar, SL.1211, Araçatuba, São Paulo 16015-460,
SMN Advogados;Serviços jurídicos;https://advsn.com.br/;11-50;2006;Sem informação
Ever Solar Distribuidora, Banco Solar, Clube Solar Marketplace;Bancos;http://www.ever.eco.br;11-50;2012;Rodovia Coronel Polícia Militar Nelson Tranchesi 740, Bloco 500, Galpão 30, Itapevi, São Paulo 06696-110,
Shilinkert Advogados;Serviços jurídicos;http://www.shilinkert.adv.br;11-50;1999;Rua São Bento, 365, 11º andar, São Paulo, SP 01011-100,
Nethomes;Imobiliário;http://www.nethomes.com.br;2-10;Sem informação;Avenida Azenha 925, Porto Alegre, Rio Grande do Sul 90160-000,
Nido;Saúde, bem-estar e educação física;http://nido.app.br;11-50;Sem informação;Natal, RN
Teto Próprio Negócios Imobiliários;Imobiliário;http://www.tetoproprio.com.br;11-50;2021;Avenida Brigadeiro Faria Lima 2013, 7° andar - Conj. 7C, São Paulo, São Paulo 01452-001,
FUNSAT;Política pública;http://www.campogrande.ms.gov.br/funsat/;201-500;2001;Rua 14 de Julho, 992, Campo Grande, Mato Grosso do Sul, Campo Grande, Mato Grosso do Sul 79004-393,
Painel Contábil;Contabilidade;http://painelcontabil.cnt.br;11-50;2021;Sem informação
Privilégio Imóveis;Imobiliário;http://www.privilegioimoveis.com.br;201-500;2014;Rio de Janeiro,
Clin;Internet;https://clin.com.br/;2-10;2017;Rua João Negrão 731, Curitiba, Paraná 80010-200,
ZOOMPAY;Serviços financeiros;http://www.zoompay.com.br;2-10;2018;Rua Cláudio Soares 72, 9º Andar - CJ 912 - Pinheiros, São Paulo, SP 05422-030,
Grupy - Juntos fazemos mais!;Administração de serviços;http://www.grupy.com.br;0;2018;Alameda Júlia da Costa, 102, Curitiba, Paraná 80410-070,
Hervé - Escritório de Estratégias de Negócios;Tecnologia da informação e serviços;https://www.herve.com.br;0;2004;Av. dos Eucaliptos, 65, 12, São Paulo, São paulo 04517-050,
SEMTRAD - Secretaria Municipal do Trabalho, Emprego e Desenvolvimento;Administração governamental;http://semtrad.manaus.am.gov.br/nossa-historia/;11-50;Sem informação;Av. Barcelos, Nº 625, Manaus, Amazonas 69020-200,
Via Permuta Curitiba;Administração de serviços;http://www.viapermuta.com.br;2-10;2020;Rua Santo Antônio, 590 , Loja 5, Curitiba, PR
Eder Content;Produção de mídia;http://www.edercontent.com.br/;11-50;2014;Rua Bruxelas, 126/101, São Paulo, SP 01259-020,
Planconsulting;Consultoria de gerenciamento;https://www.planconsulting.com.br;2-10;2020;Via das Magnólias, Cotia, São Paulo
MídiaUM Comunicação & Multimarketing;Marketing e publicidade;Inclui;11-50;2012;Rua Mal. Deodoro, 630 - Centro, Curitiba, Paraná 80010-010,
ProCompra;Internet;Inclui;11-50;2014;CJ 134 Modulo 3, São Paulo, SP 04037-002,
Green Imoveis Administração e Intermediação Imobiliaria Ltda;Imobiliário;http://www.greenimoveis.com.br;2-10;2010;Av. das Americas 2901 / 708, Rio de Janeiro, Rio de janeiro 22631002,
Casa Pleno Imóveis;Imobiliário;http://www.casaplenoimoveis.com.br;2-10;Sem informação;Rua Barão de Monte Alto 185, Belo Horizonte, Minas Gerais
85 Tecnologia;Tecnologia da informação e serviços;http://85app.com.br;201-500;2020;Av. Nilo Marcatto, 2150, Mogi das Cruzes, SP 08830-010,
Dot Brasil;Marketing e publicidade;1131818642;11-50;2001;Avenida Angélica 321, conj. 112/113, São Paulo, Sao Paulo 01227-000,
Pam Contábil, Assessoria e Contabilidade S/S;Contabilidade;http://www.pamcontabil.com.br/;11-50;2002;Rua Alfredo Pujol 328, Conjunto 12, São Paulo, São Paulo 02017-010,
Gconectta Negócios;Administração de serviços;http://www.gconectta.com.br;11-50;2010;Rua Araribóia, 292, Novo Hamburgo, RS 93310-350,
Agência PHE;Entretenimento;http://phe.art.br;11-50;2013;Rua Jerônimo Coelho 293, Sala 1202, Florianópolis, Santa Catarina 88010-030,
Dooplace Brasil;Imóveis comerciais;http://www.dooplace.com.br;2-10;Sem informação;Rua Visconde do Rio Branco 1488, 1010, Curitiba, Paraná 80420-210,
CobraCriada #InteligênciaEmRede;Marketing e publicidade;http://ninhodacobra.com.br;11-50;2015;SMPW 5, conjunto 5, 1D, Brasília, DF 71735505,
Vínculo Imóveis;Imobiliário;http://vinculoimoveis.com.br;11-50;1975;Av. Santos Dumont, 847 Centro, Uberaba, MG 38010370,
Tippou;Serviços financeiros;http://tippou.com;0;2019;Avenida Gisele Constantino 1850, Sala 418, 4º Andar, Votorantim, São Paulo 18110-650,
MySocial Digital;Arrecadação de recursos;https://mysocialdigital.com/;2-10;2020;São Paulo, SP
NEW-e;Organizações de pesquisa e orientação;https://new-e.co;2-10;2012;Porto Alegre, RS 90430-010,
FEVER;Imobiliário;http://www.fever.com.br;11-50;2018;Porto Alegre, Rio Grande do Sul 90510001,
4House;Imobiliário;http://www.4houseimoveis.com.br/;2-10;2014;Avenida Engenheiro Luis Carlos Berrini 1140 | 7 andar, São Paulo, São Paulo
ARC - SOLUÇÕES EMPRESARIAIS;Serviços financeiros;http://www.arcsolucoes.com;2-10;2009;Santa Rosa de Viterbo, São Paulo 14270-000,
Lida.app;Roupas e moda;http://lida.app;0;2019;Blumenau, Santa Catarina 89032-680,
MS Capital - Transferências Internacionais;Serviços financeiros;http://www.mscapital.com.br/;2-10;2014;São Paulo , São Paulo
GRUPO PATAMAR - Soluções Empresariais;Consultoria de gerenciamento;http://www.grupopatamar.com.br;11-50;2005;Rua Cremerie 216, Betim, Minas Gerais 32655-080,
SUPPORTO DIGITAL;Marketing e publicidade;http://www.supportodigital.com.br;2-10;2009;Rua Patrício Farias 101 , sala 603 - ITACORUBI, Florianópolis, SC 88034-132,
Ximenes Mídias;Marketing e publicidade;https://www.ximenesmidias.com.br;2-10;1990;Rua Almirante Giachetta 119, House, São Paulo, São Paulo 03427-080,
ESSENCE Comunicação Marketing & Eventos;Marketing e publicidade;51991484200;2-10;2020;Rua Mariante, 180, Porto Alegre, RS 90430181,
Glove APP;Seguros;http://glove.app.br/;0;2021;Rua Loefgren 1304, CJ 114, São Paulo, SP 04040-031,
Qlickseguros Insurtech MGA;Seguros;http://www.qlickseguros.com.br;11-50;2018;Rua Loefgren 1304, cj 114 - 11 andar, São Paulo, São Paulo 04040-001,
ATN SOLUTIONS;Contabilidade;http://www.atnsolutions.com.br;11-50;2014;Rua Engenheiro Villares da Silva, 160, Escritório Operacional 2, São Paulo, São Paulo 08215-320,
Grupo Vladia Gonçalves;Administração de serviços;https://grupovladiagoncalves.com.br/;11-50;2002;Rua Ministro Abner de Vasconcelos, 1437, Fortaleza, Ceará 60833-155,
AGS Leilões;Imobiliário;http://www.agsleiloes.com.br;2-10;2020;Rua José Debieux 35, cj. 158, São Paulo, São Paulo 02038-030,
MeuEmpregoSP;Serviços públicos;http://meuemprego.sp.gov.br;0;Sem informação;Rua Boa Vista 170, São Paulo,
SHE Group;Consultoria de gerenciamento;http://www.shegroup.com.br;2-10;2015;Rua Bento de Andrade, 638, Jd Paulista, São Paulo, SP 04503001,
ROS IMOVEIS - Desde 1976;Imobiliário;http://www.rosimoveis.com.br;11-50;1976;Rua Namy Deeke 99, Loja Terrea , Blumenau, Santa Catarina 89010-130,
FX4 Bank;Bancos;https://www.fx4bank.com.br/;11-50;2020;Avenida Paulista, n° 575, Jd. Paulista, São Paulo, São Paulo 01.311-911,
Maciel Associados®;Consultoria de gerenciamento;http://www.macielconsultoria.com.br;2-10;2015;Av. Paulista, 2064/2086, São Paulo, SP 01310-928,
Batcar Veículos: Veículos Premium, Carros Usados, Carros Seminovos, Brasília DF;Varejo;https://batcar.com.br/;11-50;2012;Sudoeste, Áreas Octogonais, Brasília , Distrito Federal 70660-620,
Udrink Brasil;Alimentos e bebidas;https://www.udrink.com.br/;2-10;2016;Praia de Botafogo, 190, Co-Working Space , Rio de Janeiro, Rio de Janeiro 22250900,
nerd2.me;Tecnologia da informação e serviços;http://nerd2.me;2-10;2016;Rua Kansas 1700, São Paulo, SP 04558-005,
CDM Corretora de Seguros;Seguros;http://www.cdmseguros.com.br;2-10;1989;Rua Joaquim Nabuco, 338, sala 09., Maringá, PR 87014100,
Trucks2You;Serviços para eventos;https://www.trucks2you.com/;11-50;Sem informação;Rua Ramos Batista, 198, SAO PAULO, SP 04552-020,
PUBLIQUE;Marketing e publicidade;https://www.crmsolucoesmktdigital.com;2-10;2014;Empresa OnLine, Campo Grande, MS 79031-900,
Captha Finanças e Soluções;Serviços financeiros;54.99902-3788;0;2009;Rua Luis Michielon, 465 - Bairro Cruzeiro, 2º Andar, Caxias do Sul, RS 95.074-000,
GW Technologies;Consultoria de gerenciamento;http://gwtechnologies.com.br;11-50;2014;Rua Marques de Lages, 1532, São Paulo, SP 04162-001,
K2 Agency;Entretenimento;http://www.k2agency.com.br;2-10;2011;Rua Maria Natália Teodoro, Cruzeiro, São Paulo 12702-050,
Wincred Intermediação Financeira;Serviços financeiros;https://wincred.com.br/;0;2021;Alameda Rio Negro 503, Sala 2301, Barueri, São Paulo 06454-000,
Têxtil Center Ltda;Software;http://www.textilcenter.com.br;11-50;2016;Curitiba, Paraná 80730180,
Heaven Group;Varejo;http://www.heavengroup.com.br;51-200;Sem informação;Rua Augusta 101, São Paulo, São paulo 01305-000,
Heaven Mídia;Produção de mídia;http://heavenmidia.com.br;0;Sem informação;Rua Augusta 101, São Paulo,
CR Reorganização Empresarial;Consultoria de gerenciamento;https://www.facebook.com/ReorganizacaoEmpresarial;0;2017;Rua Fernandes de Abreu, Itaim Bibi, 75 - S/L, São Paulo, Sao 04543-070,
Programmare;Tecnologia da informação e serviços;http://www.programmare.com.br;11-50;2014;Avenida Paulista 2202, 6° andar Sala 07, São Paulo, São Paulo 01310-932,
Mercada;Tecnologia da informação e serviços;http://www.mercada.com.br;11-50;2017;Avenida Carlos Gomes, 111, Porto Alegre, Rio Grande do Sul 90550-110,
Reismann Consultoria Financeira;Serviços financeiros;http://www.reismannconsultoria.com.br;2-10;2019;São Paulo, SP 04121-002,
Estância Projetos Editoriais;Produção de mídia;http://www.estanciaeditoriais.com.br;0;Sem informação;Poços de Caldas, MG 37701186,
DM Consulting - Consultoria e Treinamento;Treinamento e orientação profissional;http://www.dmconsultoria.esp.br;0-1;1994;São Paulo, São Paulo 04662002,
DUES CONSULTORIA EMPRESARIAL E CONTÁBIL;Contabilidade;http://www.dues.com.br;2-10;2018;Rua Padre Anchieta 2310 - bigorrilho, CJ 122 - 12º andar, Curitiba, Paraná 80730000,
Click Casa Nova Imobiliaria;Imobiliário;https://www.clickcasanova.com.br/;0;2020;Avenida Cassiano Ricardo 319, sala 508, Condomínio Pátio das Américas, São José dos Campos, Sao Paulo 12246-870,
GOBATHO PUBLICIDADE;Marketing e publicidade;https://www.facebook.com/gobathopublicidade/;2-10;2007;Rua Sílvio de Jorge, Araraquara, São Paulo
